enrollmentDate,bucket,remarks
2025,Pivot Table 2,2025 Enrollments | 2025 Revenue | 2026 | 2026 Enrollments | 2026 Revenue | Total Enrollments | Total Revenue
April 2025,Pivot Table 2,December 2025 | July 2025 | June 2025 | May 2025 | November 2025 | October 2025 | September 2025 | April 2026 | February 2026 | January 2026 | June 2026 | March 2026 | May 2026
Revenue,Pivot Table 2,last course2 | Last Course | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue | Enrollments | Revenue
213000,Pivot Table 2,Foundation | 441000 | 15 | 333000 | 37 | 792000 | 39 | 909000 | 27 | 612000 | 10 | 231000 | 13 | 285000 | 12 | 270000 | 183 | 4086000 | 21 | 504000 | 21 | 465000 | 10 | 231000 | 6 | 117000 | 29 | 669000 | 29 | 645000 | 116 | 2631000 | 299 | 6717000
,Pivot Table 2,FRC paraducks | 1 | 300000 | 1 | 300000 | 1 | 300000 | 1 | 80000 | 7 | 780000 | 3 | 680000 | 3 | 624000 | 17 | 3064000 | 5 | 120000 | 1 | 300000 | 1 | 300000 | 2 | 324000 | 9 | 1044000 | 26 | 4108000
,Pivot Table 2,FRC Schools | 48000 | 5 | 1224000 | 8 | 468000 | 1 | 24000 | 13 | 312000 | 1 | 300000 | 30 | 2376000 | 2 | 324000 | 2 | 324000 | 32 | 2700000
,Pivot Table 2,FTC Paraducks | 240000 | 2 | 240000 | 3 | 360000 | 2 | 240000 | 9 | 1080000 | 1 | 135000 | 1 | 135000 | 1 | 135000 | 3 | 405000 | 12 | 1485000
200000,Pivot Table 2,FTC Schools | 300000 | 47 | 4016000 | 2 | 124000 | 3 | 300000 | 1 | 100000 | 58 | 5040000 | 58 | 5040000
1200000,Pivot Table 2,MIT | 2400000 | 1 | 600000 | 2 | 1200000 | 7 | 4200000 | 4 | 2400000 | 4 | 2400000 | 4 | 2400000 | 28 | 16800000 | 1 | 600000 | 1 | 600000 | 1 | 600000 | 44 | 26400000 | 47 | 28200000 | 75 | 45000000
,Pivot Table 2,NI | 1305000 | 9 | 1170000 | 9 | 1000000 | 7 | 435000 | 6 | 840000 | 4 | 385000 | 5 | 305000 | 10 | 1045000 | 64 | 6485000 | 10 | 1200000 | 3 | 240000 | 3 | 420000 | 2 | 240000 | 5 | 630000 | 13 | 1650000 | 36 | 4380000 | 100 | 10865000
250000,Pivot Table 2,VEX IQ | 500000 | 4 | 500000 | 3 | 375000 | 9 | 1125000 | 2 | 250000 | 2 | 250000 | 26 | 3250000 | 4 | 500000 | 4 | 500000 | 30 | 3750000
45000,Pivot Table 2,WRO | 165000 | 1 | 56250 | 11 | 386250 | 2 | 45000 | 5 | 325000 | 1 | 56250 | 5 | 247500 | 4 | 191250 | 34 | 1517500 | 1 | 56250 | 3 | 135000 | 2 | 90000 | 3 | 135000 | 9 | 416250 | 43 | 1933750
1908000,Pivot Table 2,Grand Total | 5399000 | 32 | 3683250 | 119 | 8662250 | 57 | 2452000 | 61 | 7842000 | 39 | 4164250 | 33 | 4467500 | 38 | 5120250 | 449 | 43698500 | 38 | 2015250 | 31 | 2064000 | 17 | 1641000 | 9 | 957000 | 38 | 1569000 | 93 | 29654000 | 226 | 37900250 | 675 | 81598750
